time,hka,mldfa,mpta,jlca,delta,mldta
3.31,169.319,114.009,72.382,-30.945,-0.0009999999999834586,148.307
3.32,169.104,114.079,72.394,-30.789,0.0,148.288
3.33,168.767,114.116,72.421,-30.461,-0.000999999999990564,148.229
3.34,168.541,114.161,72.433,-30.269,7.105427357601002e-15,148.233
3.35,168.228,114.211,72.456,-29.983,-3.552713678800501e-15,148.2
3.36,167.904,114.266,72.484,-29.686,-7.105427357601002e-15,148.15
3.37,167.587,114.309,72.506,-29.39,1.4210854715202004e-14,148.136
3.38,167.222,114.389,72.542,-29.069,-3.552713678800501e-15,148.053
3.39,166.86,114.466,72.566,-28.759,-0.0010000000000047748,148.019
3.4,166.425,114.541,72.612,-28.354,-1.4210854715202004e-14,147.908
3.41,165.988,114.625,72.652,-27.961,0.0,147.804
3.42,165.55,114.729,72.699,-27.58,-1.4210854715202004e-14,147.679
3.43,165.12,114.827,72.742,-27.205,0.0,147.579
3.44,164.726,114.854,72.754,-26.826,7.105427357601002e-15,147.591
3.45,164.188,115.111,72.877,-26.422,3.552713678800501e-15,147.194
3.46,163.709,115.234,72.935,-26.008,3.552713678800501e-15,147.042
3.47,163.248,115.376,72.997,-25.627,3.552713678800501e-15,146.878
3.48,162.764,115.494,73.054,-25.203,-0.0010000000000083276,146.729
3.49,162.221,115.622,73.123,-24.719,-0.0009999999999976694,146.545
3.5,161.672,115.773,73.191,-24.254,1.0658141036401503e-14,146.348
3.51,161.06,115.962,73.282,-23.74,-1.0658141036401503e-14,146.063
3.52,160.401,116.114,73.36,-23.156,0.0009999999999834586,145.808
3.53,159.752,116.267,73.433,-22.585,-0.0009999999999976694,145.565
3.54,159.027,116.434,73.518,-21.944,0.001000000000015433,145.266
3.55,158.37,116.597,73.595,-21.372,0.0,144.974
3.56,157.717,116.746,73.668,-20.795,0.0,144.697
3.57,157.14,116.91,73.742,-20.308,2.1316282072803006e-14,144.432
3.58,156.664,117.048,73.8,-19.912,7.105427357601002e-15,144.247
3.59,156.232,117.175,73.852,-19.554,-0.0009999999999941167,144.084
3.6,155.879,117.265,73.894,-19.251,0.001000000000015433,143.97
3.61,155.534,117.37,73.945,-18.959,-3.552713678800501e-15,143.826
3.62,155.26,117.483,73.984,-18.759,0.0,143.731
3.63,154.995,117.564,74.025,-18.535,0.0010000000000083276,143.627
3.64,154.798,117.636,74.048,-18.385,-0.0009999999999941167,143.571
3.65,154.64,117.683,74.057,-18.266,7.105427357601002e-15,143.585
3.66,154.452,117.719,74.084,-18.088,0.0010000000000118803,143.52
3.67,154.321,117.76,74.099,-17.982,0.0,143.486
3.68,154.1,117.794,74.138,-17.757,0.001000000000015433,143.341
3.69,153.92,117.845,74.161,-17.604,1.4210854715202004e-14,143.238
3.7,153.722,117.905,74.193,-17.433,-0.0010000000000118803,143.106
3.71,153.511,117.963,74.221,-17.253,1.4210854715202004e-14,143.008
3.72,153.275,118.051,74.266,-17.06,-3.552713678800501e-15,142.834
3.73,153.034,118.043,74.268,-16.809,3.552713678800501e-15,142.818
3.74,152.761,118.155,74.309,-16.607,0.0,142.673
3.75,152.382,118.261,74.362,-16.281,-7.105427357601002e-15,142.494
3.76,152.081,118.357,74.404,-16.034,7.105427357601002e-15,142.378
3.77,151.683,118.473,74.47,-15.686,7.105427357601002e-15,142.187
3.78,151.352,118.585,74.513,-15.424,7.105427357601002e-15,142.074
3.79,150.993,118.696,74.569,-15.12,7.105427357601002e-15,141.915
